,Trip_ID,Total_travel_time,Unnamed: 2
0,5001,2479.59,
1,5002,2437.13,
2,5003,2398.42,
3,5004,2480.98,
4,5005,2522.94,
5,5006,2360.98,
6,5007,2445.95,
7,5008,2485.76,
8,5009,2526.06,
9,5010,2487.27,
10,5011,2528.34,
11,5012,2408.65,
12,5013,2450.42,
13,5014,2491.07,
14,5015,2573.85,
15,5016,2411.39,
16,5017,2455.2,
17,5018,2414.75,
18,5019,2496.59,
19,5020,2414.96,
20,5021,2375.61,
21,5022,2457.23,
22,5023,2500.04,
23,5024,2543.68,
24,5025,2419.74,
25,5026,2462.19,
26,5027,2505.24,
27,25001,2501.63,
28,25002,2555.91,
29,25003,2310.59,
30,25004,2464.13,
31,25005,2519.58,
32,25006,2674.8,
33,25007,2427.73,
34,25008,2582.79,
35,25009,2638.97,
36,25010,2593.65,
37,25011,2546.2,
38,25012,2601.03,
39,25013,2554.85,
40,25014,2509.98,
41,25015,2564.88,
42,25016,2721.43,
43,25017,2473.52,
44,25018,2529.96,
45,25019,2684.92,
46,25020,2639.26,
47,25021,2693.28,
48,25022,2646.61,
49,25023,2599.53,
50,25024,2453.22,
51,25025,2609.93,
52,25026,2360.51,
53,25027,2415.64,
54,5101,2610.65,
55,5102,2470.65,
56,5103,2502.81,
57,5104,2557.33,
58,5105,2433.3,
59,5106,2471.37,
60,5107,2512.09,
61,5108,2538.59,
62,5109,2583.31,
63,5110,2616.27,
64,5111,2496.97,
65,5112,2534.42,
66,5113,2556.56,
67,5114,2592.34,
68,5115,2472.46,
69,5116,2516.14,
70,5117,2533.9,
71,5118,2578.06,
72,5119,2611.82,
73,5120,2484.52,
74,5121,2512.73,
75,5122,2550.37,
76,5123,2583.09,
77,5124,2457.94,
78,5125,2492.26,
79,5126,2528.98,
80,25101,3155.63,
81,25102,3114.91,
82,25103,3280.16,
83,25104,3322.13,
84,25105,3364.46,
85,25106,3242.46,
86,25107,3285.19,
87,25108,3328.77,
88,25109,3206.28,
89,25110,3369.72,
90,25111,3207.29,
91,25112,3167.33,
92,25113,3334.25,
93,25114,3169.76,
94,25115,3210.92,
95,25116,3294.88,
96,25117,3131.25,
97,25118,3172.62,
98,25119,3255.24,
99,25120,3422.05,
100,25121,3136.75,
101,25122,3302.95,
102,25123,3383.9,
103,25124,3220.46,
104,25125,3261.28,
105,5301,1228.83,
106,5302,1238.44,
107,5303,1234.58,
108,5304,1225.62,
109,5305,1223.55,
110,5306,1241.89,
111,5307,1238.39,
112,5308,1234.97,
113,5309,1238.83,
114,5310,1227.05,
115,5311,1247.59,
116,5312,1254.87,
117,5313,1239.68,
118,5314,1249.86,
119,5315,1245.42,
120,5316,1248.77,
121,5317,1250.01,
122,5318,1226.86,
123,5319,1234.45,
124,5320,1236.86,
125,5321,1242.63,
126,5322,1253.93,
127,5323,1229.47,
128,5324,1240.54,
129,5325,1229.89,
130,5326,1232.1,
131,5327,1221.97,
132,5328,1232.13,
133,5329,1229.12,
134,25301,1611.63,
135,25302,1564.91,
136,25303,1521.59,
137,25304,1473.13,
138,25305,1527.49,
139,25306,1482.42,
140,25307,1538.06,
141,25308,1492.27,
142,25309,1445.27,
143,25310,1600.63,
144,25311,1657.31,
145,25312,1611.57,
146,25313,1566.08,
147,25314,1620.82,
148,25315,1574.03,
149,25316,1528.5,
150,25317,1582.07,
151,25318,1538.82,
152,25319,1490.54,
153,25320,1547.38,
154,25321,1499.5,
155,25322,1454.33,
156,25323,1509.54,
157,25324,1462.72,
158,25325,1619.2,
159,25326,1471.24,
160,25327,1629.16,
161,25328,1582.58,
162,25329,1635.67,
163,5401,1337.93,
164,5402,1338.81,
165,5403,1343.42,
166,5404,1357.88,
167,5405,1345.47,
168,5406,1353.83,
169,5407,1349.77,
170,5408,1358.78,
171,5409,1367.48,
172,5410,1370.47,
173,5411,1360.32,
174,5412,1371.38,
175,5413,1365.3,
176,5414,1361.15,
177,5415,1358.87,
178,5416,1359.17,
179,5417,1351.39,
180,5418,1359.9,
181,5419,1363.42,
182,5420,1365.08,
183,5421,1366.04,
184,5422,1358.36,
185,5423,1359.88,
186,5424,1342.01,
187,5425,1347.45,
188,5426,1343.95,
189,5427,1344.11,
190,5428,1345.41,
191,5429,1347.12,
192,25401,1805.63,
193,25402,1764.91,
194,25403,1808.13,
195,25404,1767.42,
196,25405,1810.89,
197,25406,1769.04,
198,25407,1933.51,
199,25408,1814.95,
200,25409,1937.98,
201,25410,1897.5,
202,25411,1856.27,
203,25412,1818.1,
204,25413,1858.27,
205,25414,1819.42,
206,25415,1780.14,
207,25416,1821.9,
208,25417,1780.34,
209,25418,1823.87,
210,25419,1783.75,
211,25420,1743.03,
212,25421,1783.96,
213,25422,1950.71,
214,25423,1910.34,
215,25424,1746.46,
216,25425,1911.2,
217,25426,1871.1,
218,25427,1831.19,
219,25428,1874.24,
